lead_id,customer_id,campaign_id,lead_date,lead_status
1,75,4,2023-05-14,Qualified
2,146,3,2023-07-19,New
3,76,3,2023-01-23,Qualified
4,9,18,2023-10-30,New
5,74,19,2023-12-12,Converted
6,186,19,2023-10-29,Lost
7,145,5,2023-12-29,Converted
8,7,18,2024-01-31,Qualified
9,174,10,2023-08-06,Qualified
10,141,6,2023-05-21,Converted
11,168,1,2023-04-14,Converted
12,170,5,2024-03-21,New
13,137,9,2023-07-29,Qualified
14,178,12,2024-04-17,Qualified
15,27,14,2024-04-25,Converted
16,122,2,2023-04-21,Lost
17,194,17,2023-04-14,Qualified
18,5,14,2023-11-12,Lost
19,29,13,2023-06-20,Converted
20,165,9,2024-04-04,Converted
21,166,15,2024-05-06,New
22,83,15,2023-12-22,Qualified
23,136,11,2024-05-10,Lost
24,109,16,2023-11-20,New
25,65,17,2023-05-13,Qualified
26,86,4,2024-01-11,New
27,145,1,2023-10-20,Converted
28,71,8,2023-11-24,Qualified
29,45,17,2023-05-07,New
30,132,3,2023-04-16,New
31,36,20,2024-05-11,Lost
32,70,15,2023-04-02,New
33,159,15,2023-10-14,Qualified
34,19,14,2024-01-13,Qualified
35,189,14,2024-01-28,Lost
36,108,2,2023-02-20,Qualified
37,182,13,2023-01-29,Converted
38,167,14,2024-04-06,Qualified
39,91,19,2023-10-23,Qualified
40,90,7,2023-10-24,New
41,19,3,2023-08-02,New
42,39,15,2023-09-24,Qualified
43,126,14,2024-02-11,Lost
44,195,11,2023-09-14,New
45,173,15,2023-10-29,Lost
46,141,13,2023-04-11,Qualified
47,126,18,2024-02-09,Qualified
48,58,6,2023-12-12,Converted
49,148,3,2023-04-20,New
50,200,19,2024-02-24,Qualified
51,61,15,2023-07-01,Converted
52,127,5,2024-04-15,New
53,105,10,2023-11-09,Qualified
54,167,7,2023-01-01,Qualified
55,1,17,2023-11-15,New
56,131,7,2024-03-13,New
57,92,12,2023-02-24,New
58,190,17,2024-01-06,Qualified
59,191,13,2024-02-28,Qualified
60,113,20,2024-02-03,Converted
61,153,4,2023-05-29,Lost
62,56,10,2024-03-06,New
63,161,3,2024-04-01,Qualified
64,166,9,2023-11-05,Qualified
65,117,13,2023-05-17,New
66,134,18,2023-07-21,Lost
67,58,15,2024-03-11,New
68,44,4,2023-11-09,Lost
69,173,15,2023-04-27,Qualified
70,160,2,2023-06-03,Lost
71,173,15,2024-02-29,Converted
72,61,8,2023-10-18,Qualified
73,47,8,2023-03-04,Converted
74,149,17,2023-09-01,New
75,80,12,2023-01-25,New
76,118,19,2023-03-31,New
77,164,10,2023-03-16,Lost
78,147,9,2023-10-21,Qualified
79,20,5,2024-01-21,New
80,185,6,2024-01-26,New
81,146,20,2023-07-29,Qualified
82,47,2,2024-04-19,New
83,49,13,2024-02-22,Converted
84,14,6,2023-12-13,Qualified
85,143,5,2023-01-17,Qualified
86,159,1,2023-05-08,Qualified
87,1,6,2024-03-02,Converted
88,117,6,2024-03-18,Qualified
89,54,16,2023-12-30,Converted
90,118,4,2023-09-08,Qualified
91,3,11,2023-06-28,Lost
92,144,9,2023-07-01,New
93,185,3,2023-06-01,Lost
94,12,19,2023-01-25,New
95,74,8,2024-03-30,Converted
96,16,5,2023-06-29,Lost
97,200,4,2023-07-17,Qualified
98,102,6,2023-12-10,New
99,152,2,2023-06-10,New
100,156,20,2023-06-26,Lost
101,117,11,2023-10-12,Converted
102,8,4,2023-03-04,Lost
103,122,15,2024-05-05,Converted
104,92,6,2023-05-30,Converted
105,164,17,2023-06-03,New
106,90,6,2023-06-05,Lost
107,136,19,2024-01-05,Lost
108,186,2,2024-04-13,Converted
109,60,15,2023-02-18,Lost
110,178,11,2024-03-30,Qualified
111,28,8,2023-12-03,Qualified
112,101,19,2023-03-25,Lost
113,41,13,2023-12-27,Lost
114,192,12,2023-06-26,Converted
115,155,5,2023-05-28,Qualified
116,191,6,2023-04-28,Qualified
117,145,4,2023-12-08,New
118,161,19,2024-04-20,Converted
119,157,20,2023-03-04,New
120,141,1,2023-07-08,Qualified
121,46,20,2023-12-26,Converted
122,35,17,2023-02-18,Lost
123,134,12,2023-11-23,Converted
124,82,15,2023-09-14,Lost
125,115,1,2023-08-12,Lost
126,197,14,2023-05-21,Converted
127,47,6,2024-04-22,Lost
128,153,5,2023-08-03,New
129,194,11,2024-03-10,Qualified
130,10,4,2024-01-14,Lost
131,56,13,2024-03-15,New
132,30,11,2023-07-30,Lost
133,109,3,2023-11-14,Qualified
134,5,1,2023-02-01,New
135,119,6,2023-06-07,Qualified
136,33,18,2023-10-12,Qualified
137,118,10,2023-11-01,New
138,65,5,2024-03-04,New
139,146,10,2024-04-21,New
140,177,12,2023-10-13,Converted
141,11,2,2023-05-24,New
142,85,13,2024-02-28,New
143,26,8,2023-01-19,New
144,63,2,2023-01-18,New
145,86,20,2023-09-14,Lost
146,59,1,2023-03-19,Converted
147,27,5,2024-01-06,Qualified
148,177,9,2023-06-24,New
149,161,17,2024-05-12,Lost
150,98,9,2023-07-13,Lost
151,105,11,2024-04-20,Lost
152,99,15,2023-04-23,Qualified
153,129,6,2023-04-24,New
154,149,3,2023-08-10,Converted
155,55,17,2023-06-15,Converted
156,6,5,2024-03-10,Lost
157,197,12,2023-11-15,Qualified
158,95,18,2023-05-12,Qualified
159,133,14,2024-01-20,Qualified
160,102,11,2023-09-21,Converted
161,3,9,2024-02-17,Lost
162,181,2,2023-02-24,New
163,23,12,2023-12-25,Converted
164,53,3,2023-05-11,Lost
165,165,3,2023-10-15,Lost
166,83,1,2023-09-23,New
167,145,8,2024-04-02,New
168,85,8,2024-04-11,New
169,78,11,2024-01-01,Qualified
170,110,9,2023-06-11,New
171,1,5,2024-01-15,Lost
172,51,14,2024-04-25,New
173,173,3,2023-03-28,Lost
174,4,5,2023-02-24,Converted
175,190,5,2024-04-20,Qualified
176,193,19,2023-10-15,Converted
177,113,14,2023-06-27,Converted
178,32,4,2024-01-26,Lost
179,34,13,2023-12-15,Converted
180,92,10,2023-01-08,Lost
181,95,18,2023-11-17,New
182,72,8,2023-11-09,New
183,39,8,2023-09-04,Lost
184,154,7,2023-11-19,New
185,162,8,2024-04-16,Qualified
186,182,14,2024-04-15,Converted
187,118,19,2024-03-18,Qualified
188,3,6,2023-09-12,Converted
189,123,1,2023-11-24,New
190,50,15,2023-02-23,Qualified
191,12,1,2023-09-06,New
192,193,17,2023-08-27,Converted
193,54,1,2023-08-17,Lost
194,133,15,2023-03-08,Lost
195,57,2,2023-02-20,Qualified
196,145,14,2023-04-07,New
197,112,8,2023-04-02,New
198,47,8,2024-05-09,Qualified
199,151,19,2023-09-21,Lost
200,85,7,2024-02-22,Converted
201,142,19,2023-10-18,Qualified
202,66,6,2023-04-06,Converted
203,75,6,2023-03-29,Lost
204,179,3,2023-03-19,New
205,103,7,2023-10-15,Lost
