order_item_id,order_id,product_id,category,quantity,price,is_out_of_stock
1,9786,1037,Snacks,4,482.79,0
2,2944,1006,Dairy,4,117.74,1
3,2648,1055,Snacks,2,74.31,0
4,11681,1022,Personal Care,4,73.79,0
5,875,1009,Personal Care,4,134.28,0
6,13624,1046,Beverages,3,295.75,0
7,19414,1068,Personal Care,4,365.83,0
8,3719,1046,Grocery,4,186.86,0
9,849,1085,Dairy,1,227.41,0
10,1780,1055,Personal Care,3,86.7,0
11,6351,1094,Dairy,2,464.42,0
12,13687,1002,Snacks,4,133.67,0
13,13765,1009,Beverages,2,414.25,0
14,8019,1049,Beverages,2,158.51,0
15,810,1002,Personal Care,4,343.98,0
16,17125,1083,Personal Care,3,62.09,0
17,2066,1091,Beverages,1,484.63,0
18,431,1095,Personal Care,4,296.87,1
19,2580,1063,Grocery,2,244.1,0
20,415,1020,Dairy,3,76.68,0
21,15741,1012,Snacks,1,332.23,0
22,7712,1095,Snacks,1,162.79,0
23,13700,1040,Dairy,4,86.58,0
24,14835,1039,Snacks,4,38.56,0
25,10786,1013,Dairy,2,44.51,0
26,3038,1054,Beverages,2,245.83,1
27,6898,1032,Snacks,2,188.02,0
28,1003,1006,Snacks,4,142.9,0
29,6801,1052,Personal Care,2,423.5,0
30,13298,1084,Snacks,3,40.22,0
31,9134,1065,Grocery,3,281.18,0
32,6481,1002,Snacks,4,266.31,0
33,692,1036,Grocery,1,351.65,0
34,12077,1024,Beverages,3,336.22,0
35,1080,1081,Snacks,4,194.78,0
36,8292,1079,Dairy,1,315.64,0
37,5131,1094,Beverages,3,474.07,0
38,5549,1051,Snacks,1,162.17,0
39,14765,1037,Beverages,3,430.74,0
40,14156,1086,Grocery,3,493.56,0
41,670,1001,Beverages,1,403.65,0
42,17378,1027,Snacks,1,59.51,0
43,12606,1026,Grocery,3,440.22,0
44,19280,1044,Grocery,4,269.27,0
45,15882,1020,Personal Care,4,435.76,0
46,12202,1042,Beverages,4,206.1,1
47,4250,1056,Grocery,3,463.1,0
48,6037,1017,Grocery,2,172.5,0
49,7477,1014,Snacks,1,184.74,0
50,15963,1067,Snacks,4,241.98,0
51,6812,1049,Beverages,3,412.18,1
52,6306,1049,Grocery,4,333.28,0
53,6267,1007,Beverages,1,378.85,0
54,19359,1029,Snacks,2,153.96,0
55,10975,1054,Snacks,3,146.78,0
56,5025,1007,Dairy,3,342.82,0
57,5717,1045,Dairy,3,72.18,0
58,2454,1061,Beverages,3,491.24,0
59,14636,1048,Beverages,4,78.18,0
60,2174,1006,Snacks,2,72.93,0
61,17421,1032,Snacks,1,450.65,1
62,19415,1080,Grocery,2,305.06,1
63,17233,1012,Snacks,2,215.65,0
64,1292,1098,Beverages,1,181.9,0
65,10783,1004,Snacks,4,231.27,0
66,13874,1071,Beverages,3,52.67,0
67,2587,1046,Personal Care,2,95.74,0
68,6003,1048,Dairy,2,310.77,0
69,16051,1077,Personal Care,2,480.59,0
70,1493,1050,Dairy,1,136.79,0
71,6780,1084,Dairy,3,393.94,0
72,8687,1068,Grocery,4,130.63,1
73,17054,1020,Beverages,1,273.09,0
74,14621,1008,Personal Care,4,41.31,0
75,110,1052,Dairy,3,164.75,0
76,12076,1088,Dairy,4,174.92,0
77,11137,1010,Beverages,2,192.42,0
78,7486,1048,Snacks,3,318.8,0
79,12569,1069,Beverages,3,313.18,0
80,1625,1052,Grocery,1,115.43,0
81,9557,1097,Grocery,3,162.26,0
82,3522,1045,Dairy,4,410.08,0
83,9559,1077,Beverages,2,388.23,1
84,15648,1027,Grocery,3,448.66,0
85,5491,1056,Snacks,1,53.31,0
86,9531,1067,Grocery,1,326.81,0
87,19235,1076,Snacks,1,76.58,0
88,19292,1006,Snacks,1,430.86,0
89,13463,1092,Dairy,4,314.04,0
90,16368,1078,Dairy,2,161.77,0
91,19460,1015,Grocery,1,267.35,0
92,288,1022,Personal Care,1,373.38,0
93,1847,1094,Dairy,3,396.64,0
94,15808,1045,Personal Care,4,483.22,0
95,15373,1060,Dairy,2,477.1,0
96,8804,1085,Snacks,3,439.11,0
97,6865,1057,Grocery,2,37.7,0
98,6311,1087,Grocery,1,157.58,0
99,4396,1091,Grocery,1,487.31,1
100,19453,1002,Grocery,1,383.25,0
101,10445,1068,Personal Care,2,379.49,1
102,10472,1050,Personal Care,4,140.72,0
103,19601,1017,Beverages,1,492.46,0
104,1255,1070,Grocery,4,129.85,0
105,9966,1011,Personal Care,2,121.11,0
106,16322,1018,Personal Care,2,296.35,1
107,7935,1016,Grocery,1,107.98,0
108,2258,1085,Personal Care,4,161.98,0
109,3960,1082,Personal Care,3,80.41,0
110,16049,1071,Grocery,1,214.9,0
111,6673,1027,Beverages,3,178.67,0
