order_id,user_id,order_date,order_time,order_value,delivery_time_minutes,delivery_status,payment_method,discount_applied,order_rating,is_returned
1,3690,2024-05-09,0 days 17:10:36,1207.84,26,Delivered,UPI,0,4,0
2,975,2024-11-07,0 days 18:47:24,696.05,20,Cancelled,Wallet,50,3,0
3,415,2024-06-05,0 days 22:30:12,408.79,30,Delivered,Card,150,4,1
4,851,2024-12-30,0 days 17:34:57,121.54,8,Delivered,UPI,0,4,0
5,3778,2024-12-29,0 days 20:56:26,385.15,13,Delayed,UPI,0,5,0
6,2729,2024-11-25,0 days 02:46:27,1351.51,15,Delivered,Card,100,5,0
7,4642,2024-05-20,0 days 10:56:24,430.6,35,Delivered,COD,100,5,0
8,3961,2024-08-04,0 days 05:23:08,389.33,35,Delivered,Card,0,3,0
9,742,2024-07-11,0 days 03:19:21,334.68,23,Delivered,Wallet,100,2,0
10,592,2024-06-27,0 days 20:39:42,196.75,39,Delayed,UPI,0,2,0
11,750,2024-08-23,0 days 20:19:40,181.43,30,Delivered,Wallet,0,2,0
12,2220,2024-05-09,0 days 17:48:09,626.04,13,Delayed,UPI,50,4,0
13,838,2024-04-21,0 days 11:53:56,545.18,14,Delayed,Card,0,1,0
14,3131,2024-08-26,0 days 06:54:03,97.01,14,Delayed,COD,50,2,0
15,3482,2024-06-03,0 days 00:18:12,943.71,16,Delivered,UPI,50,5,0
16,534,2024-12-12,0 days 11:47:08,564.8,33,Delivered,Wallet,0,3,0
17,4461,2024-09-23,0 days 20:50:49,1311.96,26,Delivered,Wallet,100,3,0
18,4463,2024-11-15,0 days 11:08:15,197.72,34,Delivered,Wallet,100,3,0
19,1774,2024-07-22,0 days 10:29:21,659.67,20,Delivered,COD,150,5,0
20,2344,2024-10-26,0 days 00:51:19,146.2,28,Delivered,UPI,0,2,0
21,2654,2024-02-22,0 days 11:47:48,42.95,35,Delivered,Card,50,5,1
22,2571,2024-01-04,0 days 03:22:47,664.7,11,Delivered,COD,0,4,0
23,265,2024-09-18,0 days 00:35:35,142.35,15,Cancelled,COD,0,1,0
24,3596,2024-12-05,0 days 05:55:05,486.72,40,Delivered,COD,0,5,0
25,2035,2024-07-10,0 days 12:53:42,432.55,22,Delivered,Card,0,1,0
26,3203,2024-10-14,0 days 18:23:42,264.65,14,Delivered,Wallet,50,4,0
27,382,2024-11-27,0 days 02:32:46,145.08,13,Delivered,UPI,50,3,0
28,3297,2024-10-31,0 days 22:46:33,625.42,23,Delivered,UPI,100,4,1
29,1167,2024-11-07,0 days 15:00:53,335.34,9,Delayed,Card,50,4,0
30,2479,2024-05-24,0 days 04:42:44,22.95,32,Delivered,Wallet,150,5,0
31,389,2024-06-01,0 days 07:41:56,382.6,26,Delivered,Card,50,5,0
32,2072,2024-12-16,0 days 03:23:19,75.25,44,Delivered,Card,100,5,0
33,395,2024-02-25,0 days 04:48:00,253.34,12,Delayed,COD,100,4,0
34,3658,2024-09-03,0 days 00:40:33,371.91,27,Delivered,COD,0,5,0
35,3257,2024-02-02,0 days 10:12:00,3.67,30,Delivered,Card,50,5,1
