ticket_id,user_id,ticket_date,issue_type,resolution_time_hours
1,4604,2024-07-04,App Crash,19.16
2,4703,2024-06-11,Late Delivery,34.82
3,1954,2024-06-05,Refund Issue,14.89
4,4701,2024-02-07,Late Delivery,62.76
5,4319,2024-05-28,Wrong Item,18.08
6,532,2025-01-19,Late Delivery,28.39
7,2993,2024-01-02,Wrong Item,49.66
8,2993,2024-09-30,Late Delivery,63.58
9,3680,2024-11-21,Late Delivery,38.28
10,1949,2024-06-18,App Crash,18.55
11,4604,2024-08-20,Late Delivery,54.83
12,774,2024-11-11,Payment Failed,43.67
13,3220,2024-07-12,App Crash,70.66
14,3201,2024-03-18,Refund Issue,31.12
15,4684,2024-03-24,Payment Failed,19.08
16,1134,2024-10-21,Wrong Item,66.98
17,1221,2024-06-29,Payment Failed,31.37
18,445,2024-02-08,Payment Failed,50.05
19,4881,2025-01-26,Payment Failed,65.88
20,987,2024-02-23,Late Delivery,39.75
21,3656,2024-11-20,App Crash,24.02
22,3141,2024-01-01,App Crash,64.58
23,1947,2024-09-18,Late Delivery,50.82
24,4360,2024-06-08,Wrong Item,39.65
25,1947,2024-09-26,Refund Issue,9.42
26,3046,2024-08-06,App Crash,71.09
27,1392,2024-02-10,Payment Failed,11.45
28,3001,2024-01-19,Late Delivery,59.92
29,4847,2024-07-14,Late Delivery,31.25
30,4533,2025-01-09,Late Delivery,34.14
31,3828,2025-01-31,App Crash,8.7
32,4286,2024-07-31,App Crash,11.53
33,1262,2025-01-17,Refund Issue,3.55
34,2078,2024-01-23,Late Delivery,27.59
35,2044,2025-01-13,App Crash,32.96
36,1044,2024-12-03,App Crash,14.09
37,718,2024-01-31,Late Delivery,26.34
38,3399,2024-04-03,Payment Failed,62.63
39,1285,2024-07-18,Wrong Item,22.11
40,1610,2024-01-04,Wrong Item,12.14
41,2906,2024-05-31,Late Delivery,21.84
42,2716,2024-08-02,Payment Failed,40.74
43,3062,2024-10-29,Wrong Item,17.46
44,3678,2024-01-10,App Crash,16.28
45,3755,2024-11-22,App Crash,21.46
46,2852,2024-02-23,App Crash,2.41
47,2024,2024-08-14,Late Delivery,42.03
48,3187,2024-05-14,Payment Failed,12.12
49,485,2024-11-09,App Crash,68.83
50,154,2024-12-03,Late Delivery,65.65
51,4670,2024-06-20,App Crash,19.68
52,2838,2024-04-12,Refund Issue,31.85
53,3830,2024-09-18,Wrong Item,32.6
54,504,2024-11-20,Payment Failed,67.31
55,2741,2024-11-15,App Crash,20.1
56,4444,2024-02-24,Wrong Item,53.45
57,1598,2025-01-03,App Crash,24.95
58,2851,2024-07-13,App Crash,33.43
59,2069,2024-03-09,Refund Issue,6.58
60,4626,2024-06-08,Payment Failed,71.75
61,2191,2024-05-22,Payment Failed,18.75
62,2108,2024-02-07,Wrong Item,2.6
63,2416,2024-01-13,App Crash,36.87
64,603,2024-08-01,App Crash,57.09
65,1996,2024-07-18,Late Delivery,11.94
66,4431,2024-11-16,App Crash,51.53
67,4151,2024-09-08,Refund Issue,16.82
68,3300,2024-10-06,Late Delivery,9.58
69,3987,2024-10-05,App Crash,60.76
70,3791,2024-05-27,Late Delivery,52.6
71,3719,2024-06-12,Payment Failed,60.87
72,3148,2024-08-28,Wrong Item,52.65
73,1341,2024-04-23,Refund Issue,58.16
74,3796,2024-03-16,Refund Issue,38.58
75,3880,2024-02-08,App Crash,22.84
76,4237,2024-08-08,App Crash,57.59
77,2798,2024-06-27,Payment Failed,50.28
78,1728,2024-01-29,Refund Issue,41.17
79,4726,2024-03-31,App Crash,11.45
80,544,2024-12-15,Payment Failed,44.73
81,440,2024-05-20,Wrong Item,11.8
82,4935,2024-03-19,Payment Failed,49.34
83,802,2024-04-18,Payment Failed,28.25
84,3894,2025-01-31,Late Delivery,11.48
85,1612,2024-09-25,Late Delivery,9.57
86,276,2024-10-19,Late Delivery,64.35
87,4317,2024-04-09,Payment Failed,67.03
88,3300,2024-06-26,Wrong Item,47.97
89,4706,2024-05-16,App Crash,25.3
90,1772,2025-01-15,Refund Issue,47.91
91,1555,2024-05-10,Refund Issue,19.56
92,2435,2024-01-08,Refund Issue,9.54
93,3388,2024-08-23,Wrong Item,71.41
94,3177,2024-02-09,App Crash,1.46
95,4336,2024-02-04,App Crash,1.65
96,3177,2024-11-24,Late Delivery,39.77
97,4372,2024-01-08,App Crash,70.99
98,3648,2024-12-17,Refund Issue,39.22
99,604,2024-08-25,App Crash,43.92
100,1148,2025-01-22,Wrong Item,47.51
101,1075,2024-03-28,App Crash,34.37
102,4053,2024-11-11,Refund Issue,20.7
103,1271,2024-09-21,App Crash,41.1
104,2629,2024-07-10,Wrong Item,15.76
105,3854,2024-01-13,Wrong Item,1.58
106,100,2024-03-27,Wrong Item,66.02
107,2933,2024-05-04,Wrong Item,25.01
108,4180,2024-12-04,Wrong Item,36.34
109,100,2024-12-03,App Crash,46.2
110,2099,2024-01-14,Late Delivery,36.29
111,1728,2024-06-26,Payment Failed,66.37
112,3277,2024-11-23,Wrong Item,39.14
113,4249,2025-01-18,Payment Failed,43.34
114,3954,2024-01-16,Late Delivery,37.32
115,438,2024-08-05,Payment Failed,1.49
116,4949,2024-08-10,App Crash,18.24
117,3661,2024-08-15,Refund Issue,11.85
118,36,2024-02-18,App Crash,60.18
119,708,2024-05-09,Refund Issue,10.33
120,4719,2024-10-03,Payment Failed,67.65
121,2067,2024-06-22,Refund Issue,9.05
122,1667,2024-04-29,Refund Issue,40.18
123,860,2024-04-23,App Crash,8.62
124,114,2024-12-02,App Crash,46.21
125,4086,2024-04-11,Late Delivery,26.09
126,1412,2024-03-03,Payment Failed,16.91
127,1040,2024-09-12,Late Delivery,31.34
128,3035,2025-01-26,Wrong Item,68.4
129,793,2024-02-11,App Crash,48.86
130,4656,2024-05-10,App Crash,69.16
131,345,2024-08-21,Payment Failed,7.68
132,2190,2024-10-21,Refund Issue,68.96
133,1876,2025-01-24,Wrong Item,24.13
134,433,2024-06-11,App Crash,71.75
135,1018,2024-07-01,Wrong Item,48.89
136,1748,2024-05-10,App Crash,3.12
137,4819,2025-01-11,Wrong Item,61.73
138,634,2024-02-03,Payment Failed,9.98
139,3432,2024-03-28,Refund Issue,30.52
140,980,2024-10-15,App Crash,27.89
141,909,2024-10-09,Refund Issue,51.44
142,279,2024-12-21,App Crash,40.42
143,1385,2024-03-25,Payment Failed,9.74
144,3372,2024-05-29,Late Delivery,48.52
145,3468,2025-01-20,Payment Failed,42.78
146,4216,2025-01-23,Refund Issue,35.65
147,4983,2024-10-23,Payment Failed,61.17
148,722,2024-04-01,Late Delivery,40.83
149,2536,2024-03-21,App Crash,61.58
