user_id,activity_date,app_opens,time_spent_minutes,pages_viewed,coupon_applied
4787,2024-10-29,2,36,15,No
219,2024-10-31,1,55,11,Yes
3722,2024-05-28,4,38,19,Yes
1304,2024-10-25,3,4,21,No
3013,2024-10-18,6,5,20,Yes
375,2024-02-28,8,43,23,No
3274,2024-11-08,6,36,16,No
4150,2024-08-16,3,24,5,No
1752,2024-01-08,2,55,10,No
3070,2024-02-04,9,7,23,No
4312,2024-12-30,1,12,17,Yes
2530,2024-05-15,5,54,4,No
824,2024-03-25,8,2,12,No
176,2024-08-08,2,57,21,No
3374,2024-12-04,5,5,13,No
4536,2024-03-12,9,40,20,Yes
71,2024-01-14,1,10,19,No
511,2024-04-19,4,42,24,Yes
3709,2024-08-27,1,59,19,Yes
3485,2024-01-27,8,13,8,No
637,2024-09-20,2,4,16,No
162,2024-08-23,8,59,13,No
976,2024-10-03,2,47,22,No
1493,2024-03-28,2,56,9,No
840,2024-02-24,6,28,19,Yes
2365,2024-02-15,1,14,19,No
3915,2024-07-29,9,50,7,No
1124,2024-01-29,4,49,20,No
2061,2024-03-22,9,1,2,No
1042,2024-12-04,7,16,24,No
4164,2024-12-06,4,31,6,No
3555,2024-12-03,1,12,21,No
2617,2024-01-15,8,33,20,No
3823,2024-11-18,3,50,17,Yes
2362,2024-12-04,9,41,22,No
551,2024-11-17,4,26,19,Yes
2628,2024-05-12,5,2,15,Yes
300,2024-02-18,9,46,19,Yes
630,2024-10-06,7,55,4,No
367,2024-02-12,6,48,22,Yes
891,2024-04-30,5,46,8,No
164,2024-07-08,9,38,17,No
2138,2024-12-16,9,58,24,No
1758,2024-12-25,5,21,9,No
3120,2025-01-19,5,50,17,Yes
1970,2024-11-10,3,7,13,No
904,2024-10-19,4,16,24,No
384,2024-09-19,9,7,22,Yes
1404,2024-10-31,8,4,12,Yes
4199,2024-09-15,2,31,20,No
4638,2024-10-26,1,29,11,No
2929,2024-08-17,9,34,15,Yes
1680,2024-03-16,1,11,9,Yes
3210,2024-02-27,1,49,6,Yes
