user_id,signup_date,city,pincode,device_type,user_segment,is_subscription_user,marketing_source
1,2024-11-23,Pune,402764,Android,Regular,1,Google Ads
2,2024-02-27,Hyderabad,492911,Android,Regular,0,Google Ads
3,2024-01-13,Bangalore,455481,Android,Regular,1,Organic
4,2025-01-14,Hyderabad,518095,Android,Regular,0,Instagram
5,2024-05-20,Hyderabad,556380,Android,Regular,1,Google Ads
6,2024-05-05,Delhi,411065,Android,Budget,0,Google Ads
7,2024-04-24,Bangalore,476849,Android,Budget,0,Google Ads
8,2024-03-12,Bangalore,437549,Android,Budget,0,Organic
9,2025-01-12,Bangalore,406477,Android,Regular,0,Organic
10,2024-02-22,Hyderabad,490102,Android,Budget,0,Google Ads
11,2024-12-12,Pune,402383,iOS,Premium,0,Organic
12,2025-01-14,Bangalore,558019,Android,Regular,0,Instagram
13,2024-10-06,Chennai,479699,Android,Regular,1,Organic
14,2024-02-14,Hyderabad,553408,Android,Premium,0,Google Ads
15,2024-10-29,Delhi,445096,Android,Premium,0,Instagram
16,2024-08-04,Pune,529975,Android,Premium,1,Organic
17,2024-01-17,Chennai,427198,Android,Regular,0,Google Ads
18,2024-01-16,Chennai,527620,Android,Budget,1,Referral
19,2024-02-17,Delhi,422011,Android,Premium,0,Referral
20,2024-04-21,Pune,555196,Android,Premium,0,Instagram
21,2024-04-29,Hyderabad,487924,Android,Premium,0,Instagram
22,2024-09-15,Mumbai,533963,Android,Regular,0,Instagram
23,2024-11-04,Pune,530527,Android,Regular,0,Organic
24,2024-01-14,Delhi,509163,Android,Budget,0,Instagram
25,2024-10-14,Chennai,520928,Android,Regular,0,Organic
26,2024-04-11,Hyderabad,408027,iOS,Budget,0,Google Ads
27,2025-01-01,Pune,464926,iOS,Budget,0,Organic
28,2024-11-28,Mumbai,468843,Android,Regular,0,Organic
29,2024-12-25,Mumbai,433666,Android,Regular,1,Google Ads
30,2024-10-06,Bangalore,409278,Android,Budget,0,Referral
31,2024-08-02,Bangalore,448009,iOS,Premium,1,Organic
32,2024-04-22,Delhi,414684,Android,Premium,0,Organic
33,2024-08-17,Pune,531743,Android,Regular,1,Google Ads
34,2024-10-28,Pune,548962,Android,Regular,0,Instagram
35,2024-05-22,Chennai,478543,Android,Premium,0,Google Ads
36,2024-01-04,Chennai,454320,Android,Budget,0,Referral
37,2025-01-23,Chennai,492068,Android,Regular,0,Instagram
38,2024-03-22,Bangalore,552712,Android,Budget,0,Referral
39,2024-12-23,Pune,547706,Android,Budget,0,Organic
40,2024-08-04,Pune,468976,iOS,Regular,0,Referral
41,2024-06-23,Mumbai,501159,Android,Regular,0,Referral
42,2024-05-22,Bangalore,411578,Android,Budget,0,Google Ads
43,2024-03-20,Hyderabad,477300,Android,Budget,0,Instagram
44,2024-04-20,Bangalore,420177,Android,Regular,0,Organic
45,2025-01-25,Hyderabad,463973,Android,Regular,1,Organic
46,2024-06-21,Mumbai,520019,Android,Regular,0,Organic
47,2024-02-22,Delhi,419997,Android,Budget,0,Instagram
48,2024-02-17,Pune,500923,Android,Regular,0,Instagram
49,2024-07-13,Mumbai,486599,Android,Budget,0,Referral
50,2024-02-19,Pune,435932,Android,Budget,0,Referral
51,2024-07-02,Chennai,524169,Android,Regular,0,Instagram
52,2024-06-25,Delhi,523100,Android,Regular,1,Organic
53,2024-11-05,Delhi,434694,Android,Budget,0,Instagram
54,2024-05-15,Mumbai,508945,Android,Budget,0,Google Ads
55,2024-01-23,Delhi,417375,Android,Regular,0,Instagram
56,2025-01-08,Hyderabad,481472,Android,Budget,0,Instagram
57,2024-08-23,Delhi,445914,Android,Budget,0,Organic
58,2024-10-01,Pune,523684,Android,Regular,0,Referral
59,2024-03-04,Pune,444517,Android,Budget,0,Google Ads
60,2024-07-12,Pune,487797,iOS,Budget,0,Google Ads
61,2024-02-10,Pune,426070,Android,Premium,0,Google Ads
62,2024-10-09,Hyderabad,518334,Android,Regular,1,Instagram
63,2024-05-30,Bangalore,484812,Android,Regular,0,Organic
64,2024-11-17,Chennai,518029,Android,Regular,0,Instagram
65,2024-11-12,Mumbai,439179,Android,Regular,0,Referral
66,2024-07-04,Pune,432822,Android,Premium,0,Organic
67,2024-10-22,Delhi,417000,Android,Regular,1,Google Ads
68,2024-04-08,Pune,438713,Android,Budget,1,Instagram
69,2024-12-26,Delhi,433723,Android,Regular,0,Organic
70,2024-02-05,Chennai,410626,Android,Regular,0,Instagram
71,2024-01-24,Chennai,406860,Android,Regular,0,Organic
72,2024-12-04,Chennai,510987,Android,Regular,1,Google Ads
73,2024-04-26,Delhi,421840,iOS,Premium,0,Referral
74,2025-01-30,Pune,427217,Android,Regular,1,Referral
75,2024-05-28,Chennai,452954,Android,Budget,0,Instagram
76,2024-02-10,Hyderabad,449523,Android,Budget,0,Google Ads
77,2024-04-29,Delhi,535959,Android,Regular,1,Instagram
78,2024-02-21,Delhi,511250,iOS,Budget,1,Instagram
79,2024-07-13,Pune,407486,iOS,Budget,0,Organic
80,2024-05-22,Delhi,547840,Android,Budget,1,Organic
81,2024-08-20,Delhi,512702,iOS,Budget,1,Organic
82,2024-11-21,Chennai,559526,Android,Premium,1,Google Ads
83,2024-07-05,Pune,502639,Android,Budget,1,Google Ads
84,2024-03-24,Chennai,412227,iOS,Budget,0,Instagram
85,2024-07-08,Chennai,493406,iOS,Budget,0,Organic
86,2024-06-30,Pune,422589,Android,Regular,1,Google Ads
87,2024-04-17,Mumbai,437020,iOS,Budget,0,Instagram
88,2024-12-09,Chennai,465134,iOS,Regular,0,Google Ads
89,2024-05-16,Hyderabad,514445,iOS,Budget,0,Instagram
90,2024-12-25,Hyderabad,517604,iOS,Regular,1,Referral
91,2024-12-15,Delhi,558599,iOS,Premium,0,Organic
92,2024-11-27,Hyderabad,528586,Android,Budget,0,Referral
93,2024-02-06,Delhi,443396,iOS,Regular,0,Instagram
94,2024-11-07,Mumbai,555104,Android,Regular,0,Instagram
95,2024-11-21,Pune,525815,iOS,Regular,0,Organic
96,2024-03-28,Pune,512600,Android,Regular,0,Organic
97,2024-09-30,Pune,425940,Android,Regular,0,Instagram
98,2025-01-08,Hyderabad,551397,Android,Regular,1,Google Ads
99,2024-05-05,Mumbai,553940,Android,Regular,0,Organic
100,2024-03-24,Hyderabad,400204,Android,Budget,1,Instagram
101,2024-08-24,Hyderabad,547617,iOS,Budget,0,Organic
102,2024-07-13,Mumbai,546972,iOS,Regular,1,Organic
103,2024-05-18,Mumbai,429064,Android,Premium,0,Referral
104,2024-11-23,Mumbai,490881,iOS,Premium,0,Referral
105,2024-12-18,Mumbai,403749,iOS,Premium,0,Google Ads
106,2024-10-12,Pune,517270,Android,Regular,0,Organic
107,2024-04-22,Bangalore,480765,Android,Regular,0,Instagram
108,2024-12-16,Bangalore,551957,iOS,Regular,0,Instagram
109,2024-06-15,Mumbai,556256,Android,Regular,1,Organic
110,2025-01-28,Bangalore,508037,iOS,Regular,0,Organic
111,2024-01-29,Bangalore,550332,iOS,Budget,1,Google Ads
112,2024-04-27,Mumbai,516526,iOS,Budget,0,Google Ads
113,2024-01-17,Bangalore,485680,Android,Regular,1,Google Ads
114,2024-06-10,Hyderabad,525830,Android,Regular,0,Instagram
115,2024-07-24,Delhi,528217,Android,Budget,0,Referral
116,2024-05-17,Delhi,533176,Android,Budget,0,Google Ads
117,2024-02-03,Mumbai,465902,Android,Premium,1,Instagram
118,2024-04-18,Pune,547176,Android,Regular,0,Google Ads
119,2024-10-17,Mumbai,498047,Android,Regular,0,Instagram
120,2025-01-02,Pune,490013,iOS,Regular,0,Organic
121,2024-06-10,Delhi,478279,Android,Regular,0,Instagram
122,2024-04-18,Mumbai,412392,Android,Budget,0,Organic
123,2024-12-01,Chennai,502477,Android,Regular,0,Instagram
124,2024-09-12,Hyderabad,559974,Android,Regular,1,Referral
125,2024-07-21,Bangalore,520722,Android,Budget,0,Instagram
126,2024-11-25,Pune,497538,Android,Budget,1,Organic
127,2024-08-22,Chennai,481160,Android,Budget,0,Referral
128,2024-03-14,Bangalore,531041,Android,Regular,0,Instagram
129,2024-05-15,Bangalore,435504,Android,Budget,1,Instagram
130,2024-03-12,Mumbai,475404,iOS,Regular,0,Google Ads
131,2024-05-06,Bangalore,464287,iOS,Regular,0,Referral
132,2025-01-16,Hyderabad,474843,iOS,Premium,1,Organic
133,2024-10-14,Chennai,504928,iOS,Regular,0,Referral
134,2024-10-02,Bangalore,414909,iOS,Budget,0,Organic
135,2024-05-14,Mumbai,437229,iOS,Regular,0,Google Ads
136,2025-01-17,Hyderabad,423387,Android,Regular,0,Google Ads
137,2024-10-26,Delhi,428303,Android,Budget,0,Organic
138,2024-08-07,Chennai,460816,Android,Regular,0,Organic
139,2024-10-25,Bangalore,463345,Android,Premium,0,Organic
140,2024-07-23,Mumbai,511604,Android,Budget,1,Google Ads
141,2024-07-04,Delhi,461115,Android,Regular,0,Referral
142,2024-04-22,Delhi,425526,iOS,Premium,0,Google Ads
143,2024-03-11,Pune,479819,iOS,Regular,0,Instagram
144,2024-09-17,Hyderabad,514590,Android,Regular,1,Google Ads
145,2024-09-09,Bangalore,545407,Android,Budget,1,Instagram
146,2024-02-16,Mumbai,494716,iOS,Budget,1,Instagram
147,2025-01-21,Pune,406645,Android,Regular,1,Google Ads
148,2024-01-25,Hyderabad,501155,iOS,Regular,0,Google Ads
149,2024-02-26,Pune,443470,Android,Premium,0,Google Ads
150,2024-03-19,Chennai,506610,Android,Budget,0,Referral
151,2024-11-17,Hyderabad,548448,Android,Regular,0,Google Ads
152,2024-03-22,Hyderabad,465207,iOS,Budget,0,Organic
